constant    1: beta    0, exp    1
constant  616: beta    9, exp   13
constant  617: beta    6, exp   15
constant  618: beta    6, exp   15
constant  619: beta   43, exp   65
constant  620: beta   66, exp  103
constant  621: beta   13, exp   29
constant  622: beta   56, exp   91
constant  623: beta   36, exp   60
constant  624: beta   10, exp   21
constant  625: beta   39, exp   61
constant  626: beta   85, exp  123
constant  627: beta   34, exp   58
constant  628: beta    6, exp    9
constant  629: beta   22, exp   40
constant  630: beta   40, exp   61
constant  631: beta   18, exp   35
constant  632: beta   54, exp   87
constant  633: beta   31, exp   53
constant  634: beta   10, exp   17
constant  635: beta   10, exp   23
constant  636: beta   79, exp  102
constant  637: beta   32, exp   54
constant  638: beta  103, exp  142
constant  639: beta   67, exp   94
constant  640: beta   64, exp   98
constant  641: beta    6, exp    9
constant  642: beta   56, exp   80
constant  643: beta   46, exp   65
constant  644: beta    3, exp    5
constant  645: beta    7, exp    9
constant  646: beta    7, exp    9
constant  647: beta   59, exp   87
constant  648: beta   55, exp   81
constant  649: beta   42, exp   63
constant  650: beta   28, exp   48
constant  651: beta   32, exp   55
constant  652: beta   28, exp   48
constant  653: beta  132, exp  166
constant  654: beta   72, exp   91
constant  655: beta   71, exp   79
constant  656: beta   53, exp   66
constant  657: beta   18, exp   32
constant  658: beta   28, exp   48
constant  659: beta   51, exp   76
constant  660: beta   15, exp   19
constant  661: beta   25, exp   43
constant  662: beta   39, exp   62
constant  663: beta   37, exp   58
constant  664: beta   51, exp   82
constant  665: beta   35, exp   58
constant  666: beta   53, exp   88
constant  667: beta   45, exp   83
constant  668: beta   68, exp  105
constant  669: beta   38, exp   61
constant  670: beta   38, exp   66
constant  671: beta   73, exp  101
constant  672: beta   62, exp   89
constant  673: beta   44, exp   76
constant  674: beta  179, exp  204
constant  675: beta   79, exp   94
constant  676: beta   91, exp  112
constant  677: beta   60, exp   86
constant  678: beta  102, exp  137
constant  679: beta   69, exp  102
constant  680: beta   62, exp  100
constant  681: beta   53, exp   77
constant  682: beta   65, exp   90
constant  683: beta   38, exp   66
constant  684: beta   97, exp  139
constant  685: beta   39, exp   68
constant  686: beta   62, exp   99
constant  687: beta   29, exp   46
constant  688: beta   29, exp   46
constant  689: beta    7, exp    9
constant  690: beta    7, exp    9
constant  691: beta   25, exp   43
constant  692: beta   19, exp   35
constant  693: beta   19, exp   35
constant  694: beta    6, exp   15
constant  695: beta    6, exp   15
constant  696: beta    9, exp   13
constant  697: beta    9, exp   13
constant  698: beta   72, exp  103
constant  699: beta   72, exp  103
constant  700: beta   37, exp   54
constant  701: beta   37, exp   54
constant  702: beta   37, exp   54
constant  703: beta   37, exp   54
constant  704: beta   35, exp   56
constant  705: beta   35, exp   56
constant  706: beta   35, exp   56
constant  707: beta   35, exp   56
